Category,Carb,Protein,Fat,Calorie,Fiber,Outcome
normal,low,low,low,low,low,negative
normal,low,low,low,low,high,positive
normal,low,low,low,high,low,positive
normal,low,low,low,high,high,positive
normal,low,low,high,low,low,positive
normal,low,low,high,low,high,positive
normal,low,low,high,high,low,positive
normal,low,low,high,high,high,positive
normal,low,high,low,low,low,positive
normal,low,high,low,low,high,positive
normal,low,high,low,high,low,positive
normal,low,high,low,high,high,positive
normal,low,high,high,low,low,positive
normal,low,high,high,low,high,positive
normal,low,high,high,high,low,positive
normal,low,high,high,high,high,positive
normal,high,low,low,low,low,positive
normal,high,low,low,low,high,positive
normal,high,low,low,high,low,positive
normal,high,low,low,high,high,positive
normal,high,low,high,low,low,positive
normal,high,low,high,low,high,positive
normal,high,low,high,high,low,positive
normal,high,low,high,high,high,positive
normal,high,high,low,low,low,positive
normal,high,high,low,low,high,positive
normal,high,high,low,high,low,positive
normal,high,high,low,high,high,positive
normal,high,high,high,low,low,positive
normal,high,high,high,low,high,positive
normal,high,high,high,high,low,positive
normal,high,high,high,high,high,positive
obese,low,low,low,low,low,negative
obese,low,low,low,low,high,positive
obese,low,low,low,high,low,negative
obese,low,low,low,high,high,positive
obese,low,low,high,low,low,negative
obese,low,low,high,low,high,positive
obese,low,low,high,high,low,negative
obese,low,low,high,high,high,positive
obese,low,high,low,low,low,positive
obese,low,high,low,low,high,positive
obese,low,high,low,high,low,positive
obese,low,high,low,high,high,positive
obese,low,high,high,low,low,negative
obese,low,high,high,low,high,positive
obese,low,high,high,high,low,negative
obese,low,high,high,high,high,positive
obese,high,low,low,low,low,negative
obese,high,low,low,low,high,positive
obese,high,low,low,high,low,negative
obese,high,low,low,high,high,positive
obese,high,low,high,low,low,negative
obese,high,low,high,low,high,positive
obese,high,low,high,high,low,negative
obese,high,low,high,high,high,positive
obese,high,high,low,low,low,negative
obese,high,high,low,low,high,positive
obese,high,high,low,high,low,negative
obese,high,high,low,high,high,positive
obese,high,high,high,low,low,negative
obese,high,high,high,low,high,positive
obese,high,high,high,high,low,negative
obese,high,high,high,high,high,positive
overweight,low,low,low,low,low,negative
overweight,low,low,low,low,high,positive
overweight,low,low,low,high,low,negative
overweight,low,low,low,high,high,positive
overweight,low,low,high,low,low,negative
overweight,low,low,high,low,high,positive
overweight,low,low,high,high,low,negative
overweight,low,low,high,high,high,positive
overweight,low,high,low,low,low,positive
overweight,low,high,low,low,high,positive
overweight,low,high,low,high,low,positive
overweight,low,high,low,high,high,positive
overweight,low,high,high,low,low,negative
overweight,low,high,high,low,high,positive
overweight,low,high,high,high,low,negative
overweight,low,high,high,high,high,positive
overweight,high,low,low,low,low,negative
overweight,high,low,low,low,high,positive
overweight,high,low,low,high,low,negative
overweight,high,low,low,high,high,positive
overweight,high,low,high,low,low,negative
overweight,high,low,high,low,high,positive
overweight,high,low,high,high,low,negative
overweight,high,low,high,high,high,positive
overweight,high,high,low,low,low,negative
overweight,high,high,low,low,high,positive
overweight,high,high,low,high,low,negative
overweight,high,high,low,high,high,positive
overweight,high,high,high,low,low,negative
overweight,high,high,high,low,high,positive
overweight,high,high,high,high,low,negative
overweight,high,high,high,high,high,positive
morbid,low,low,low,low,low,negative
morbid,low,low,low,low,high,positive
morbid,low,low,low,high,low,negative
morbid,low,low,low,high,high,positive
morbid,low,low,high,low,low,negative
morbid,low,low,high,low,high,positive
morbid,low,low,high,high,low,negative
morbid,low,low,high,high,high,positive
morbid,low,high,low,low,low,positive
morbid,low,high,low,low,high,positive
morbid,low,high,low,high,low,positive
morbid,low,high,low,high,high,positive
morbid,low,high,high,low,low,negative
morbid,low,high,high,low,high,positive
morbid,low,high,high,high,low,negative
morbid,low,high,high,high,high,positive
morbid,high,low,low,low,low,negative
morbid,high,low,low,low,high,positive
morbid,high,low,low,high,low,negative
morbid,high,low,low,high,high,positive
morbid,high,low,high,low,low,negative
morbid,high,low,high,low,high,positive
morbid,high,low,high,high,low,negative
morbid,high,low,high,high,high,positive
morbid,high,high,low,low,low,negative
morbid,high,high,low,low,high,positive
morbid,high,high,low,high,low,negative
morbid,high,high,low,high,high,positive
morbid,high,high,high,low,low,negative
morbid,high,high,high,low,high,positive
morbid,high,high,high,high,low,negative
morbid,high,high,high,high,high,positive
