brand_name	item_name	brand_id	item_id	upc	item_type	item_description	nf_ingredient_statement	nf_calories	nf_calories_from_fat	nf_total_fat	nf_saturated_fat	nf_trans_fatty_acid	nf_polyunsaturated_fat	nf_monounsaturated_fat	nf_cholesterol	nf_sodium	nf_total_carbohydrate	nf_dietary_fiber	nf_sugars	nf_protein	nf_vitamin_a_dv	nf_vitamin_c_dv	nf_calcium_dv	nf_iron_dv	nf_servings_per_container	nf_serving_size_qty	nf_serving_size_unit	nf_serving_weight_grams	updated_at
USDA	"Veal, variety meats and by-products, tongue, cooked, braised - 3 oz"	513fcc648110a4cafb90ca5e	513fceb675b8dbbc210024fc	null	3	null	null	171	77	8	3	null	0	3	202	54	0	0	0	21	0	8	0	9	null	3	oz	85	2013-06-28T10:53:50-04:00
USDA	"Babyfood, cereal, barley, dry - 0.5 oz"	513fcc648110a4cafb90ca5e	513fceb375b8dbbc21000481	null	3	null	null	56	8	0	0	null	0	0	0	1	10	0	1	1	0	0	11	39	null	0	oz	15	2013-06-28T10:53:50-04:00
USDA	"Broadbeans (fava beans), mature seeds, raw - 1 cup"	513fcc648110a4cafb90ca5e	513fceb675b8dbbc210021c1	null	3	null	null	511	20	2	0	null	0	0	0	19	87	37	8	39	1	3	15	55	null	1	cup	150	2013-06-28T10:53:50-04:00
USDA	"Beef, chuck eye steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw - 1 steak"	513fcc648110a4cafb90ca5e	513fceb775b8dbbc210031aa	null	3	null	null	856	565	62	26	null	4	29	261	253	0	0	0	72	1	0	5	44	null	1	steak	384	2013-06-28T10:53:50-04:00
USDA	"Cheese, cottage, creamed, large or small curd - 1 cup, large curd (not packed)"	513fcc648110a4cafb90ca5e	513fceb375b8dbbc2100002a	null	3	null	null	205	81	9	3	null	0	1	35	764	7	0	5	23	5	0	17	0	null	1	"cup, large curd (not packed)"	210	2013-06-28T10:53:50-04:00
USDA	"PREGO Pasta, Chunky Garden Mushroom and Green Pepper Italian Sauce, ready-to-serve - 1 serving 1/2 cup"	513fcc648110a4cafb90ca5e	513fceb475b8dbbc21000ac1	null	3	null	null	89	27	3	0	null	0	0	0	470	13	2	9	2	10	6	1	3	null	1	serving 1/2 cup	130	2013-06-28T10:53:50-04:00
USDA	"McDONALD'S, Apple Dippers with Low Fat Caramel Sauce - 1 item"	513fcc648110a4cafb90ca5e	513fceb775b8dbbc21002fc0	null	3	null	null	98	6	0	0	null	0	0	2	35	23	0	15	0	0	313	5	0	null	1	item	89	2013-06-28T10:53:50-04:00
USDA	"CAMPBELL'S CHUNKY Soups, Sizzlin' Steak- Grilled Steak Chili with Beans - 1 serving"	513fcc648110a4cafb90ca5e	513fceb475b8dbbc21000b96	null	3	null	null	198	26	2	0	null	0	0	14	869	26	7	8	15	14	2	3	9	null	1	serving	245	2013-06-28T10:53:50-04:00
USDA	"Chicken, broilers or fryers, drumstick, meat only, cooked, fried - 1 drumstick, bone and skin removed"	513fcc648110a4cafb90ca5e	513fceb475b8dbbc210007f7	null	3	null	null	81	30	3	0	null	0	1	39	40	0	0	0	12	0	0	0	3	null	1	"drumstick, bone and skin removed"	42	2013-06-28T10:53:50-04:00
USDA	"Babyfood, oatmeal cereal with fruit, dry, instant, toddler - 1 tbsp"	513fcc648110a4cafb90ca5e	513fceb375b8dbbc210004a8	null	3	null	null	21	3	0	0	null	0	0	0	0	3	0	0	0	0	0	1	4	null	1	tbsp	5	2013-06-28T10:53:50-04:00
USDA	"Vinegar, red wine - 1 cup"	513fcc648110a4cafb90ca5e	513fceb375b8dbbc210002a1	null	3	null	null	45	0	0	0	null	0	0	0	19	0	0	0	0	0	1	1	5	null	1	cup	239	2013-06-28T10:53:50-04:00
USDA	"Formulated bar, MARS SNACKFOOD US, SNICKERS Marathon Energy Bar, all flavors - 1 bar"	513fcc648110a4cafb90ca5e	513fceb775b8dbbc21003360	null	3	null	null	169	42	4	2	null	0	1	1	168	22	2	12	9	1	359	33	39	null	1	bar	44	2013-06-28T10:53:50-04:00
USDA	"Fish, butterfish, raw - 3 oz"	513fcc648110a4cafb90ca5e	513fceb675b8dbbc21001f7f	null	3	null	null	124	61	6	2	null	0	2	55	75	0	0	0	14	1	0	1	2	null	3	oz	85	2013-06-28T10:53:50-04:00
USDA	"Snacks, rice cakes, brown rice, multigrain, unsalted - 2 cakes"	513fcc648110a4cafb90ca5e	513fceb775b8dbbc21002d53	null	3	null	null	69	5	0	0	null	0	0	0	0	14	0	0	1	0	0	0	1	null	2	cakes	18	2013-06-28T10:53:50-04:00
USDA	"KELLOGG'S, EGGO, NUTRI-GRAIN Frozen Fruit Pizza, Strawberry Granola - 1 pizza"	513fcc648110a4cafb90ca5e	513fceb775b8dbbc210033df	null	3	null	null	399	109	12	5	null	2	2	10	394	65	4	17	9	0	0	6	9	null	1	pizza	150	2013-06-28T10:53:50-04:00
USDA	"Pork, cured, ham with natural juices, spiral slice, boneless, separable lean and fat, heated, roasted - 1 slice"	513fcc648110a4cafb90ca5e	513fceb575b8dbbc210013e6	null	3	null	null	201	66	7	0	null	0	0	92	1416	1	0	1	32	1	0	0	6	null	1	slice	145	2013-06-28T10:53:50-04:00
USDA	"Carrot juice, canned - 1 fl oz"	513fcc648110a4cafb90ca5e	513fceb575b8dbbc210017bd	null	3	null	null	11	0	0	0	null	0	0	0	19	2	0	1	0	112	4	0	0	null	1	fl oz	29	2013-06-28T10:53:50-04:00
USDA	"Babyfood, vegetables, sweet potatoes, junior - 1 jar Beech-Nut Stage 3 (6 oz)"	513fcc648110a4cafb90ca5e	513fceb375b8dbbc210003ac	null	3	null	null	102	1	0	0	null	0	0	0	30	23	2	7	1	225	27	2	3	null	1	jar Beech-Nut Stage 3 (6 oz)	170	2013-06-28T10:53:50-04:00
USDA	"Cereals, MAYPO, dry - 1 cup"	513fcc648110a4cafb90ca5e	513fceb475b8dbbc21000e45	null	3	null	null	361	44	4	0	null	1	1	0	17	67	10	32	12	99	100	26	99	null	1	cup	94	2013-06-28T10:53:50-04:00
USDA	"Tea, herb, chamomile, brewed - 1 fl oz"	513fcc648110a4cafb90ca5e	513fceb675b8dbbc21001f25	null	3	null	null	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	0	null	1	fl oz	29	2013-06-28T10:53:50-04:00
USDA	"CAMPBELL'S Red and White, DORA THE EXPLORER Kidshapes Soup, condensed - 1 serving 1/2 cup"	513fcc648110a4cafb90ca5e	513fceb475b8dbbc21000b0e	null	3	null	null	79	18	2	0	null	0	0	5	480	13	1	2	2	10	0	0	2	null	1	serving 1/2 cup	126	2013-06-28T10:53:50-04:00
USDA	"Frankfurter, beef, pork, and turkey, fat free - 1 frank 1 NLEA serving"	513fcc648110a4cafb90ca5e	513fceb475b8dbbc21000d99	null	3	null	null	62	8	0	0	null	0	0	23	501	6	0	0	7	0	22	3	5	null	1	frank 1 NLEA serving	57	2013-06-28T10:53:50-04:00
USDA	"Sandwich spread, with chopped pickle, regular, unspecified oils - 1 tablespoon"	513fcc648110a4cafb90ca5e	513fceb475b8dbbc210005d8	null	3	null	null	58	45	5	0	null	3	1	11	150	3	0	2	0	0	0	0	0	null	1	tablespoon	15	2013-06-28T10:53:50-04:00
USDA	"KENTUCKY FRIED CHICKEN, Fried Chicken, ORIGINAL RECIPE, Breast, meat and skin with breading - 1 breast, bone and skin removed"	513fcc648110a4cafb90ca5e	513fceb775b8dbbc2100300e	null	3	null	null	280	137	15	3	null	4	5	104	748	7	0	0	28	0	0	3	4	null	1	"breast, bone and skin removed"	127	2013-06-28T10:53:50-04:00
USDA	"Stew, dumpling with mutton (Navajo) - 1 serving"	513fcc648110a4cafb90ca5e	513fceb875b8dbbc21003536	null	3	null	null	311	104	11	5	null	0	4	86	141	24	0	0	26	0	0	4	30	null	1	serving	308	2013-06-28T10:53:50-04:00
USDA	"Chicken, broilers or fryers, dark meat, meat only, cooked, fried - 1 cup"	513fcc648110a4cafb90ca5e	513fceb475b8dbbc210007b8	null	3	null	null	334	146	16	4	null	3	6	134	135	3	0	0	40	2	0	2	11	null	1	cup	140	2013-06-28T10:53:50-04:00
USDA	"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled - 3 oz"	513fcc648110a4cafb90ca5e	513fceb675b8dbbc21001d34	null	3	null	null	218	120	13	5	null	0	5	81	45	0	0	0	22	0	0	1	8	null	3	oz	85	2013-06-28T10:53:50-04:00
USDA	"Fish, mackerel, Pacific and jack, mixed species, raw - 3 oz"	513fcc648110a4cafb90ca5e	513fceb675b8dbbc21001fe2	null	3	null	null	134	60	6	1	null	1	2	39	73	0	0	0	17	1	2	1	5	null	3	oz	85	2013-06-28T10:53:50-04:00
USDA	"Brussels sprouts, cooked, boiled, drained, without salt - 1 sprout"	513fcc648110a4cafb90ca5e	513fceb575b8dbbc210014b1	null	3	null	null	7	0	0	0	null	0	0	0	4	1	0	0	0	3	21	0	1	null	1	sprout	21	2013-06-28T10:53:50-04:00
USDA	"Bread, pumpernickel - 1 slice (5"" x 4"" x 3/8"")"	513fcc648110a4cafb90ca5e	513fceb675b8dbbc21002672	null	3	null	null	80	8	0	0	null	0	0	0	190	15	2	0	2	0	0	2	5	null	1	"slice (5"" x 4"" x 3/8"")"	32	2013-06-28T10:53:50-04:00
USDA	"Pears, canned, juice pack, solids and liquids - 1 cup, halves"	513fcc648110a4cafb90ca5e	513fceb575b8dbbc2100111c	null	3	null	null	124	1	0	0	null	0	0	0	9	32	3	24	0	0	6	2	3	null	1	"cup, halves"	248	2013-06-28T10:53:50-04:00
USDA	"Babyfood, dessert, fruit dessert, without ascorbic acid, junior - 1 tbsp"	513fcc648110a4cafb90ca5e	513fceb375b8dbbc210004e4	null	3	null	null	9	0	0	0	null	0	0	0	0	2	0	1	0	0	0	0	0	null	1	tbsp	15	2013-06-28T10:53:50-04:00
USDA	"Pork, fresh, leg (ham), rump half, separable lean only, raw - 1 roast"	513fcc648110a4cafb90ca5e	513fceb575b8dbbc21001211	null	3	null	null	4742	1042	115	37	null	24	45	2450	3003	0	0	0	861	5	0	47	147	null	1	roast	3952	2013-06-28T10:53:50-04:00
USDA	"Frankfurter, meat and poultry, low fat - 1 cup, sliced"	513fcc648110a4cafb90ca5e	513fceb875b8dbbc21003623	null	3	null	null	173	36	4	1	null	0	1	62	1405	12	0	0	22	0	0	1	7	null	1	"cup, sliced"	143	2013-06-28T10:53:50-04:00
